keywordId,onepv_uvc,mt_uvc,mt_pvc,uvc,pvc,sum(sr.impression),sum(sr.click),sum(sr.uv),sum(sr.pv),sum(sr.vppv),sum(sr.cost),avg(sr.position),terminal,subcategory,keyword,sc
47664995583,1.0,,,1,1,47,1,1,1,0,1.99,1.0,2.0,1.0,东佳大厦,1
47664995586,1.0,2.0,6.0,3,7,42,3,3,7,2,6.11,1.094117647,2.0,1.0,百仕达大厦,3
47664995589,1.0,,,1,1,34,1,1,1,0,8.52,1.055555556,2.0,1.0,深华科技园,1
47664995592,1.0,,,1,1,22,1,1,1,0,6.16,1.107142857,2.0,1.0,凯丰大厦,1
47664995598,11.0,1.0,8.0,12,19,537,17,12,19,16,98.03,1.140967742,2.0,1.0,a8音乐大厦,17
47664995601,1.0,,,1,1,179,1,1,1,0,6.82,1.145517241,2.0,1.0,太阳岛,1
47664995607,3.0,,,3,3,178,3,3,3,3,25.26,1.030645161,2.0,1.0,金丰城,3
47664995637,2.0,,,2,2,16,2,2,2,1,29.72,1.125,2.0,1.0,展润商务大厦,2
47664995649,3.0,1.0,4.0,4,7,62,4,4,7,0,24.55,1.117391304,2.0,1.0,华盛大厦,4
47664995652,16.0,,,16,16,286,18,16,16,16,137.62,1.012,2.0,1.0,中建大厦,18
47664995673,3.0,,,3,3,83,3,3,3,3,34.4,1.134615385,2.0,1.0,怡泰大厦,3
47664995682,2.0,,,2,2,63,2,2,2,0,16.89,1.176666667,2.0,1.0,宝丽大厦,2
47664995691,1.0,,,1,1,22,1,1,1,0,6.29,1.0,2.0,1.0,金丰大厦,1
47664995694,1.0,,,1,1,32,1,1,1,0,1.33,1.141764706,2.0,1.0,宝源大厦,1
47664995703,2.0,,,2,2,49,2,2,2,0,18.7,1.3375,2.0,1.0,渔景大厦,2
47664995709,3.0,1.0,2.0,4,5,93,7,4,5,4,40.55,1.0,2.0,1.0,庆安大厦,7
47664995718,3.0,1.0,2.0,4,5,44,4,4,5,5,48.71,1.073888889,2.0,1.0,银丰大厦,4
47664995724,1.0,,,1,1,35,1,1,1,0,8.11,1.215882353,2.0,1.0,兴华大厦,1
47664995727,,2.0,5.0,2,5,88,4,2,5,4,42.55,1.024814815,2.0,1.0,爱国大厦,4
47664995733,3.0,,,3,3,70,3,3,3,0,26.91,1.253461538,2.0,1.0,宝龙大厦,3
47664995736,4.0,,,4,4,139,5,4,4,0,36.94,1.363928571,2.0,1.0,英龙大厦,5
47664995739,6.0,4.0,12.0,10,18,208,12,10,18,2,123.39,1.275517241,2.0,1.0,上步大厦,12
47664995745,6.0,3.0,9.0,9,15,104,11,9,15,10,119.17,1.056296296,2.0,1.0,南方证券大厦,11
47664995757,1.0,,,1,1,7,1,1,1,0,1.57,1.334,2.0,1.0,丰盛商业大厦,1
47664995760,2.0,,,2,2,33,4,2,2,0,22.09,1.0,2.0,1.0,龙井大厦,4
47664995763,5.0,1.0,4.0,6,9,73,6,6,9,7,45.93,1.022727273,2.0,1.0,本元大厦,6
47664995769,1.0,,,1,1,102,1,1,1,1,7.09,1.003846154,2.0,1.0,港中旅大厦,1
47664995772,4.0,1.0,3.0,5,7,167,5,5,7,7,38.38,1.241724138,2.0,1.0,万汇大厦,5
